Machine ID,Machine Type,Date,Shift,Temperature (°C),Vibration Level (mm/s),Energy Usage (kWh),Production Output (units),Downtime (minutes),Error Codes
M014,Printing Machine,06-10-2024,Night,79.6,18.6,54.6,135,15,E01
M043,Spinning Machine,05-10-2024,Night,78,19.6,50.7,107,13,E01
M048,Printing Machine,17-10-2024,Night,77,10.3,39.7,17,25,E02
M044,Printing Machine,16-10-2024,Evening,88.7,21.5,31.4,24,35,None
M033,Spinning Machine,30-10-2024,Morning,74.2,10.8,49.3,188,57,E02
M030,Weaving Machine,04-09-2024,Night,66.5,17.8,55.9,155,58,E01
M025,Spinning Machine,20-09-2024,Morning,62.2,21.5,39.5,44,3,E03
M029,Dyeing Machine,31-10-2024,Night,76.3,13.7,33.3,129,18,E03
M039,Weaving Machine,08-10-2024,Night,81.5,19.1,32.2,12,3,E02
M045,Dyeing Machine,13-10-2024,Evening,68,17.2,49,136,38,E03
M023,Weaving Machine,14-09-2024,Evening,89.3,13.9,56.4,6,23,E03
M046,Printing Machine,22-09-2024,Morning,75.9,14.4,52,103,2,E01
M001,Dyeing Machine,19-09-2024,Night,69.4,13.9,50.7,50,33,E01
M044,Spinning Machine,31-10-2024,Evening,75.2,11.5,37.3,60,56,None
M007,Dyeing Machine,19-10-2024,Night,62.7,12.3,34.3,158,25,None
M048,Printing Machine,25-09-2024,Morning,79.8,20.1,52.9,189,21,E03
M015,Spinning Machine,10-09-2024,Morning,62.2,17.4,56.5,83,23,E03
M001,Printing Machine,21-09-2024,Morning,70.1,19.9,48.4,197,7,E02
M035,Printing Machine,08-09-2024,Night,88.1,10.9,38.3,162,50,E01
M005,Printing Machine,02-10-2024,Morning,70,12.8,56.8,120,37,E03
M004,Spinning Machine,26-09-2024,Morning,67,12.3,46.4,0,5,None
M011,Dyeing Machine,27-09-2024,Morning,67.7,22.2,36.1,103,49,E02
M048,Weaving Machine,03-09-2024,Morning,71.7,13.3,54.2,62,13,E03
M007,Weaving Machine,16-10-2024,Morning,85.9,13.3,44.3,100,44,None
M009,Dyeing Machine,28-09-2024,Evening,86.2,14.1,31.7,190,38,E02
M008,Printing Machine,29-09-2024,Evening,84,22.9,46.3,39,12,E01
M031,Spinning Machine,21-09-2024,Evening,72.4,16.7,40.1,67,29,None
M033,Spinning Machine,26-10-2024,Morning,88.1,23.5,50,43,24,E02
M046,Weaving Machine,01-09-2024,Night,69.4,19.2,50.4,143,47,E03
M038,Weaving Machine,17-09-2024,Morning,75.7,24.5,46.5,167,45,E03
M023,Spinning Machine,05-10-2024,Morning,74.6,12.3,50.2,139,11,E02
M020,Printing Machine,07-10-2024,Morning,66,24,34.7,72,21,E03
M019,Dyeing Machine,18-10-2024,Morning,82.1,12.9,55.8,128,27,None
M013,Printing Machine,04-09-2024,Morning,86.6,20.1,49.9,63,47,None
M034,Printing Machine,29-10-2024,Evening,81.6,14.4,58.8,42,37,E02
M010,Printing Machine,22-09-2024,Night,67.4,16.4,31.7,65,25,E02
M023,Spinning Machine,11-10-2024,Night,66,14.5,41.2,120,37,E01
M023,Spinning Machine,31-10-2024,Evening,66,14.5,54.6,97,0,None
M001,Dyeing Machine,17-09-2024,Morning,75.7,22.3,33.3,149,54,E02
M045,Printing Machine,06-09-2024,Night,78.5,23.8,49.8,60,39,E02
M020,Spinning Machine,27-09-2024,Night,67.1,23.9,32.3,90,42,E03
M027,Dyeing Machine,07-10-2024,Night,66.6,10.1,41,176,13,None
M007,Printing Machine,01-09-2024,Morning,69,22.4,31.9,149,33,E02
M013,Weaving Machine,11-10-2024,Night,88.4,19.7,51.3,148,43,E02
M007,Printing Machine,12-10-2024,Evening,89.6,19.1,48.1,115,41,E03
M030,Weaving Machine,15-10-2024,Night,71.1,17.8,31.4,33,43,E01
M036,Printing Machine,01-09-2024,Morning,63.3,15.9,54.3,22,13,None
M018,Spinning Machine,15-09-2024,Night,69,17.7,50.8,129,36,None
M003,Dyeing Machine,29-09-2024,Night,70,22.4,58.9,30,38,None
M041,Printing Machine,21-10-2024,Night,64.3,24.9,40.8,131,13,None
M042,Weaving Machine,20-09-2024,Morning,86.8,11.6,49.7,122,21,E03
M009,Printing Machine,22-09-2024,Evening,77.2,16,41.1,37,56,E03
M042,Printing Machine,24-09-2024,Night,75.2,10.8,37.3,146,13,E01
M020,Dyeing Machine,13-10-2024,Evening,75.3,19.7,38.2,70,16,E01
M034,Printing Machine,07-10-2024,Evening,76.3,15.8,53.7,33,33,E03
M048,Weaving Machine,11-10-2024,Night,64.5,17.2,50.5,93,23,None
M023,Weaving Machine,14-09-2024,Night,85,19.3,45.8,135,17,None
M009,Spinning Machine,26-09-2024,Morning,71.2,16.8,39.3,122,28,E02
M049,Spinning Machine,08-09-2024,Evening,75.8,16.1,41.4,111,40,E03
M020,Dyeing Machine,22-09-2024,Morning,67.2,21.2,54.8,52,17,E02
M013,Weaving Machine,23-09-2024,Evening,71.8,22.7,34.3,63,58,None
M022,Dyeing Machine,14-10-2024,Evening,65.8,12.7,58.7,200,60,E02
M004,Dyeing Machine,05-10-2024,Night,81.3,14.2,34.1,50,30,E02
M021,Spinning Machine,20-09-2024,Morning,73.3,12.9,46.1,135,9,E02
M008,Printing Machine,23-09-2024,Night,65.3,18.6,47.1,189,37,E01
M025,Dyeing Machine,07-09-2024,Morning,78.7,23.8,45.8,52,3,None
M022,Spinning Machine,16-09-2024,Evening,86.7,12.7,48,76,0,None
M004,Weaving Machine,23-09-2024,Evening,65,16.7,41.9,64,41,E03
M036,Weaving Machine,04-10-2024,Morning,71.1,11.1,52.5,141,8,E03
M019,Spinning Machine,07-09-2024,Morning,67.9,17.8,51.1,30,30,None
M007,Printing Machine,27-09-2024,Evening,77.6,18.7,50.2,159,3,None
M026,Weaving Machine,06-10-2024,Morning,89,22.2,58.4,85,41,E02
M046,Dyeing Machine,17-10-2024,Evening,85.7,14.4,55.3,73,30,E01
M044,Printing Machine,22-10-2024,Morning,87.1,22.7,30.7,5,8,None
M010,Printing Machine,04-09-2024,Morning,61.4,24.8,38.2,61,48,E01
M033,Dyeing Machine,13-10-2024,Morning,75.9,11.5,59.4,15,53,E03
M015,Printing Machine,06-09-2024,Evening,89.7,16.9,43.3,167,57,E03
M009,Printing Machine,05-10-2024,Night,75.7,22.7,34.5,192,2,None
M009,Dyeing Machine,22-10-2024,Evening,67.7,16.6,49.3,58,0,None
M001,Weaving Machine,03-10-2024,Evening,70,23.4,56.3,119,23,E02
M041,Printing Machine,19-10-2024,Night,63.8,10.5,32.5,183,43,E01
M042,Printing Machine,07-09-2024,Morning,61.3,21.8,59.4,193,14,E02
M048,Dyeing Machine,29-09-2024,Night,87.7,11.7,32.4,8,41,E03
M011,Weaving Machine,18-10-2024,Morning,66.9,13.4,30.3,32,21,E03
M042,Dyeing Machine,23-09-2024,Evening,67.5,20.7,38.6,57,4,None
M048,Weaving Machine,23-09-2024,Evening,76.3,10.7,39.7,142,53,E03
M021,Spinning Machine,03-10-2024,Morning,89.5,24.8,36.1,120,23,E02
M042,Spinning Machine,28-10-2024,Morning,83.8,13.4,50.7,47,1,E01
M019,Weaving Machine,29-10-2024,Evening,82.1,21.6,52.2,39,46,E03
M038,Weaving Machine,03-10-2024,Evening,72.1,24.4,54.3,50,7,E01
M028,Spinning Machine,10-10-2024,Evening,85.8,25,55.9,104,11,None
M036,Dyeing Machine,06-09-2024,Evening,65.5,13.8,53.3,150,43,E01
M050,Printing Machine,11-10-2024,Morning,73.2,15.1,51.6,73,29,E01
M043,Weaving Machine,16-10-2024,Evening,67.5,15.9,32.3,94,21,E03
M035,Dyeing Machine,21-10-2024,Evening,86.2,16.9,31.4,96,42,E01
M020,Spinning Machine,04-10-2024,Morning,77.8,20,40.7,152,6,None
M002,Weaving Machine,13-10-2024,Evening,64.7,21.9,51.9,84,19,None
M046,Weaving Machine,19-09-2024,Evening,80.6,16.9,50.9,186,9,E01
M034,Spinning Machine,22-09-2024,Morning,85.8,22.4,38.2,120,30,None
M045,Weaving Machine,08-10-2024,Evening,60.8,14,33.9,57,52,E02
M008,Spinning Machine,30-10-2024,Evening,74.4,10.1,49.2,190,43,None
M034,Printing Machine,04-10-2024,Night,78.5,19.6,34.6,53,47,E01
M025,Dyeing Machine,02-10-2024,Evening,76,15.4,44.1,38,17,E02
M014,Spinning Machine,18-09-2024,Morning,64.3,24.3,59.2,7,34,E03
M046,Dyeing Machine,19-09-2024,Morning,66,21.3,36.2,156,2,E01
M037,Spinning Machine,13-09-2024,Morning,61.1,23.3,44.9,54,1,E01
M050,Spinning Machine,20-09-2024,Night,84.7,23.3,57,50,26,E01
M002,Weaving Machine,07-09-2024,Morning,72.8,22.5,33.3,140,34,E02
M011,Printing Machine,21-10-2024,Morning,76.5,15.8,38.9,123,41,E03
M003,Weaving Machine,06-09-2024,Morning,67.8,22.5,36.6,81,53,None
M015,Printing Machine,15-10-2024,Evening,67.7,17.4,45.9,85,60,E03
M034,Weaving Machine,25-10-2024,Morning,85.7,12,30.5,32,7,E01
M022,Printing Machine,03-09-2024,Morning,80.4,15.7,47.3,143,1,E01
M047,Spinning Machine,12-09-2024,Morning,66.3,15.3,30.4,56,42,None
M047,Dyeing Machine,26-09-2024,Morning,87.1,17.2,36.1,51,31,E01
M029,Dyeing Machine,22-09-2024,Morning,89.4,21.5,57.7,177,21,E01
M045,Weaving Machine,05-09-2024,Night,67.7,14,58.9,198,27,E02
M010,Printing Machine,22-09-2024,Morning,79.4,15.9,30.2,197,31,E02
M021,Spinning Machine,23-09-2024,Evening,86.1,10.3,56.9,164,36,None
M024,Dyeing Machine,23-09-2024,Morning,86.5,12.2,47.4,18,21,None
M013,Weaving Machine,19-09-2024,Night,66.7,16.2,52.4,80,37,E03
M038,Spinning Machine,07-09-2024,Morning,73.6,24.6,42.2,40,1,E01
M020,Spinning Machine,16-10-2024,Evening,77.3,12,40.7,103,60,E02
M035,Dyeing Machine,04-10-2024,Morning,72.1,13.1,32.9,28,37,E01
M011,Weaving Machine,18-09-2024,Morning,88.1,11,47.3,178,41,None
M048,Dyeing Machine,01-09-2024,Night,66.3,13.4,56.9,73,6,None
M005,Printing Machine,25-10-2024,Night,85.9,21.8,55.1,0,41,None
M009,Printing Machine,09-09-2024,Morning,70.3,24.3,54.2,11,36,E01
M035,Spinning Machine,10-10-2024,Night,78.7,24.1,49.1,102,58,E01
M015,Spinning Machine,30-10-2024,Night,61.2,12.1,47.5,123,32,E02
M022,Printing Machine,01-09-2024,Morning,66.2,13.2,55.2,91,41,E03
M002,Dyeing Machine,04-10-2024,Morning,77.4,16.1,31.6,71,3,None
M024,Printing Machine,18-09-2024,Evening,69.5,24.4,52.4,25,52,None
M017,Printing Machine,20-10-2024,Morning,67.3,22.9,51.8,164,17,E03
M039,Weaving Machine,15-10-2024,Night,72.5,20.9,42.9,17,55,E01
M002,Dyeing Machine,09-09-2024,Evening,79.3,24.7,40.5,129,48,E01
M014,Printing Machine,09-09-2024,Evening,71.4,18,52.7,54,44,E03
M013,Spinning Machine,16-10-2024,Night,70.8,20.9,53.7,28,24,E02
M029,Weaving Machine,17-10-2024,Morning,82.7,23.3,35.6,104,8,E02
M010,Dyeing Machine,22-09-2024,Night,80,16.2,41.4,35,5,E03
M003,Dyeing Machine,12-10-2024,Evening,64.3,21,31.2,42,4,E02
M006,Printing Machine,24-09-2024,Morning,80.3,23.1,34.9,29,60,E01
M029,Printing Machine,30-09-2024,Night,71.1,21,39.8,32,20,E01
M029,Weaving Machine,17-09-2024,Evening,85.8,21.5,58.9,21,45,E01
M016,Spinning Machine,01-09-2024,Evening,70.7,21.7,51.1,71,6,E02
M032,Spinning Machine,30-09-2024,Morning,63.4,17.3,43,80,51,E01
M011,Dyeing Machine,09-09-2024,Morning,60.8,15.6,34.1,173,48,None
M003,Weaving Machine,21-09-2024,Evening,79.6,22.4,31.8,149,58,E03
M046,Weaving Machine,08-09-2024,Evening,82.8,12.2,48.4,139,59,E02
M048,Printing Machine,22-09-2024,Night,71.9,12.1,47.5,66,3,E02
M038,Spinning Machine,14-10-2024,Morning,80.2,13.2,34.8,159,40,E02
M045,Dyeing Machine,04-09-2024,Evening,84.4,21.9,48.5,127,20,E03
M024,Spinning Machine,14-10-2024,Night,86.4,21.3,49.3,133,60,E02
M016,Weaving Machine,23-09-2024,Night,69.6,12.8,33.5,180,24,None
M032,Dyeing Machine,10-09-2024,Morning,60.5,17.9,36,180,12,E03
M008,Spinning Machine,15-09-2024,Evening,77.1,23.7,34,183,53,E03
M044,Dyeing Machine,30-09-2024,Night,89.9,14,46,95,31,E01
M019,Spinning Machine,09-09-2024,Night,68.8,16.9,58.1,135,25,E03
M037,Printing Machine,03-10-2024,Morning,72.9,16,34.7,21,32,E01
M024,Printing Machine,31-10-2024,Morning,66.4,19.4,40.9,123,44,E01
M011,Printing Machine,02-09-2024,Night,60.6,11.7,58.2,29,51,E01
M008,Spinning Machine,28-10-2024,Evening,84.3,22.9,58.5,39,48,E02
M001,Dyeing Machine,20-09-2024,Morning,77.4,22.4,56.1,134,19,E02
M040,Dyeing Machine,29-10-2024,Night,85.7,11.1,48.4,27,18,E01
M022,Weaving Machine,20-09-2024,Night,85.6,20.4,56.8,182,1,None
M043,Printing Machine,01-09-2024,Evening,86.6,15.6,32.3,19,59,None
M031,Spinning Machine,16-10-2024,Evening,89.3,11.8,33.9,24,34,E02
M045,Printing Machine,08-09-2024,Evening,81.5,12.6,41.2,19,0,None
M038,Spinning Machine,19-09-2024,Morning,65.7,11.9,55.9,180,28,None
M020,Dyeing Machine,12-10-2024,Evening,63.7,17.4,52.6,184,0,None
M017,Printing Machine,12-09-2024,Morning,87.2,24.4,57.3,78,5,E01
M047,Spinning Machine,10-09-2024,Evening,81.6,14.6,42.5,35,54,E03
M038,Dyeing Machine,23-10-2024,Evening,67.6,22.1,45,40,48,E03
M019,Spinning Machine,12-09-2024,Night,63.1,22.2,36.2,56,27,None
M001,Weaving Machine,30-10-2024,Morning,71.5,17.8,46.2,196,13,E03
M021,Spinning Machine,26-10-2024,Morning,63.4,11,59.9,127,57,E03
M036,Printing Machine,24-10-2024,Morning,86.9,11.5,48.8,174,12,None
M013,Dyeing Machine,26-09-2024,Night,67.7,16.7,54.2,59,0,None
M031,Spinning Machine,21-10-2024,Night,65.2,24.4,51,151,11,E01
M024,Printing Machine,25-10-2024,Evening,80.5,17.2,55.1,121,5,E03
M009,Dyeing Machine,16-10-2024,Night,63.6,13.9,59.7,42,0,None
M029,Weaving Machine,06-10-2024,Evening,86.9,16.7,38.8,1,31,None
M024,Spinning Machine,19-09-2024,Evening,85.8,13.5,42.7,36,33,E03
M033,Spinning Machine,02-09-2024,Evening,74,10.6,53.7,60,7,E01
M006,Weaving Machine,02-09-2024,Evening,71,19.3,52.8,145,53,E01
M045,Printing Machine,28-09-2024,Morning,79.9,15.5,34.3,27,38,E03
M044,Spinning Machine,20-10-2024,Night,81.7,22.8,43.1,93,23,E01
M020,Spinning Machine,30-09-2024,Evening,69.2,21.1,58.1,154,37,E02
M043,Printing Machine,29-10-2024,Night,60,20.6,55.2,188,52,E03
M005,Weaving Machine,20-10-2024,Morning,69.7,21.3,42.3,51,9,E03
M005,Weaving Machine,30-09-2024,Night,88.9,17.3,34.8,73,51,E03
M028,Printing Machine,04-10-2024,Morning,85,19.5,33.5,5,60,E02
M006,Printing Machine,23-09-2024,Morning,88.5,17.9,43.5,110,35,E02
M031,Printing Machine,20-10-2024,Morning,73.9,20,33.3,154,28,E02
M045,Spinning Machine,09-10-2024,Evening,60.5,18.4,51.6,164,51,E01
M016,Dyeing Machine,02-09-2024,Night,69.7,22.9,32.1,83,27,None
M011,Dyeing Machine,23-09-2024,Night,60.7,17.5,30.8,121,49,E03
M043,Weaving Machine,09-09-2024,Night,79.6,11.9,34.4,39,8,E03
M016,Weaving Machine,12-10-2024,Morning,74.9,19.9,52,76,30,E03
M047,Weaving Machine,09-09-2024,Morning,82.6,21.4,53.8,151,27,E01
M003,Printing Machine,14-09-2024,Night,60.5,14.1,54.6,136,38,None
M044,Spinning Machine,22-10-2024,Night,61.4,19.5,43.5,51,51,E01
M019,Dyeing Machine,27-10-2024,Evening,77.2,10.1,33.6,66,31,None
M005,Spinning Machine,13-10-2024,Night,81.5,19.3,44.7,193,23,None
M008,Weaving Machine,31-10-2024,Night,64,11.4,51.3,128,17,E01
M023,Dyeing Machine,16-09-2024,Morning,64,11.9,43.2,16,47,E02
M044,Spinning Machine,05-10-2024,Evening,60.2,12.5,40.1,188,22,E03
M033,Printing Machine,08-09-2024,Morning,86.6,19.6,54,1,56,E01
M030,Printing Machine,27-09-2024,Morning,63.7,18.3,56.4,164,57,E03
M021,Dyeing Machine,11-10-2024,Evening,84.1,18.9,32.4,159,20,None
M019,Dyeing Machine,06-09-2024,Morning,68.9,19.7,38.5,10,49,E03
M002,Weaving Machine,16-10-2024,Morning,81.5,15.9,30.9,161,34,E02
M040,Dyeing Machine,02-09-2024,Morning,69.9,10.8,40,134,4,E01
M021,Spinning Machine,26-09-2024,Morning,85.3,10.9,44.2,198,51,E02
M046,Weaving Machine,19-09-2024,Night,73.9,22.2,49.5,17,17,E01
M037,Weaving Machine,17-10-2024,Evening,73,11.6,58.7,71,39,E01
M034,Weaving Machine,27-10-2024,Evening,66.1,20.5,59.3,0,46,E02
M024,Spinning Machine,17-10-2024,Evening,65,20.4,44.2,17,37,None
M005,Dyeing Machine,23-09-2024,Evening,62.5,19.7,33.6,152,45,None
M004,Printing Machine,04-10-2024,Night,72.6,16.3,35.3,195,43,None
M017,Weaving Machine,03-09-2024,Evening,88.8,18.6,42.6,69,48,E01
M017,Spinning Machine,19-10-2024,Morning,66,20.2,36.1,148,35,None
M046,Printing Machine,24-10-2024,Morning,78.5,16.6,30.2,3,44,E01
M028,Spinning Machine,14-09-2024,Night,87.9,22.7,58.4,136,13,None
M017,Weaving Machine,22-10-2024,Morning,61.6,23.6,34.2,113,45,None
M037,Printing Machine,24-09-2024,Morning,81.2,13.2,56.4,63,44,E02
M009,Dyeing Machine,12-09-2024,Night,68.3,24.4,52.1,143,28,E03
M005,Spinning Machine,01-09-2024,Morning,66.1,23.9,33,191,36,None
M031,Weaving Machine,18-09-2024,Night,79.9,14.7,54.6,37,9,E01
M040,Printing Machine,20-10-2024,Morning,61.7,11.5,41.9,186,54,E01
M035,Printing Machine,23-10-2024,Evening,85.4,16.5,46.6,28,2,E03
M040,Printing Machine,12-10-2024,Morning,87.4,21,45.3,46,50,E02
M046,Spinning Machine,12-09-2024,Evening,71.2,23,40,4,21,E01
M014,Spinning Machine,20-09-2024,Night,76.7,13.9,42.2,27,31,E02
M013,Weaving Machine,09-09-2024,Night,74.8,21.1,34.3,5,37,None
M037,Printing Machine,03-09-2024,Morning,62.8,13.3,34.2,28,39,E02
M049,Dyeing Machine,29-10-2024,Night,70.7,17.9,30.8,41,32,E02
M030,Spinning Machine,10-09-2024,Night,66,20.5,57.9,101,11,None
M047,Dyeing Machine,27-10-2024,Night,80.7,11,46.5,43,21,E03
M042,Weaving Machine,04-09-2024,Morning,81.1,20.6,35.8,83,7,E02
M038,Spinning Machine,06-10-2024,Night,85.6,14.8,55,58,4,None
M002,Dyeing Machine,20-09-2024,Night,67.1,23.3,36.5,65,37,E01
M042,Dyeing Machine,31-10-2024,Morning,81.4,13.6,41.6,27,37,None
M044,Spinning Machine,06-10-2024,Morning,83.3,21.9,51.5,156,2,E01
M034,Weaving Machine,12-09-2024,Night,81.1,24.9,37.9,135,1,None
M025,Spinning Machine,28-10-2024,Evening,85.3,13.7,46.9,163,33,E03
M043,Weaving Machine,02-09-2024,Morning,68.8,20.1,40.2,5,14,E01
M046,Dyeing Machine,16-09-2024,Morning,88,17.7,31.4,179,38,E01
M001,Spinning Machine,04-09-2024,Morning,69.1,23.8,40.3,170,43,E03
M032,Printing Machine,03-10-2024,Evening,84.7,13.8,58.4,132,51,None
M017,Printing Machine,10-09-2024,Evening,81.2,15.1,41.6,173,50,E03
M006,Printing Machine,19-10-2024,Evening,84.7,14.8,33.3,63,17,None
M016,Spinning Machine,10-09-2024,Evening,66,21.4,41.9,43,58,E02
M040,Dyeing Machine,02-10-2024,Night,88.8,19.9,35.3,177,59,E01
M026,Printing Machine,12-10-2024,Evening,89.3,12.2,30.1,158,11,E03
M024,Weaving Machine,14-10-2024,Night,88.7,18,33.7,114,24,E03
M027,Weaving Machine,10-09-2024,Morning,70.5,18.2,50.3,23,16,None
M041,Weaving Machine,10-09-2024,Morning,76.8,20.8,31.6,3,18,E03
M002,Dyeing Machine,10-10-2024,Evening,86,19.8,49.6,101,13,E03
M001,Spinning Machine,28-09-2024,Night,80,13.4,41.2,174,30,E02
M019,Weaving Machine,14-10-2024,Evening,88.3,19.1,51.7,71,22,None
